HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'720225D	Voltage_Box	_Voltages	PC8766	<>	<>	<>	<>	<>	Wipeout On	121.3	4.7	4.7	15.8
'720227C	Fault_Currents	_Fault Currents	PC8766	<>	<>	<>	157	87	Wipeout ON	<>	<>	<>	<>
'7202291	Voltage_Box	_Voltages	PC65435	<>	<>	<>	<>	<>	Wipeout On	124.7	7.0	7.0	17.5
'72022B0	Fault_Currents	_Fault Currents	PC65435	<>	<>	<>	141	82	Wipeout ON	<>	<>	<>	<>
'72022EB	Voltage_Box	_Voltages	PC133611	<>	<>	<>	<>	<>	Wipeout On	125.9	0.1	0.1	2.1
'7202329	Load_Currents	_Currents	R28	A3.5			<>	<>	<>	<>	<>	<>	<>
'7202343	Fault_Currents	_Fault Currents	R28	<>	<>	<>	845	175	Wipeout ON	<>	<>	<>	<>
'7202362	Load_Currents	_Currents	R12423	B3.1			<>	<>	<>	<>	<>	<>	<>
'720237C	Fault_Currents	_Fault Currents	R12423	<>	<>	<>	567	148	Wipeout ON	<>	<>	<>	<>
'720239B	Load_Currents	_Currents	R11604	A4.4	B1.1	C0.8	<>	<>	<>	<>	<>	<>	<>
'72023B5	Fault_Currents	_Fault Currents	R11604	<>	<>	<>	1409	180	Wipeout ON	<>	<>	<>	<>
'72023D4	Load_Currents	_Currents	R23	C1.3			<>	<>	<>	<>	<>	<>	<>
'72023EE	Fault_Currents	_Fault Currents	R23	<>	<>	<>	840	168	Wipeout ON	<>	<>	<>	<>
'720240D	Load_Currents	_Currents	R271	C8.8			<>	<>	<>	<>	<>	<>	<>
'7202427	Fault_Currents	_Fault Currents	R271	<>	<>	<>	848	168	Wipeout ON	<>	<>	<>	<>
'7202446	Load_Currents	_Currents	R14029	B4.9			<>	<>	<>	<>	<>	<>	<>
