HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'7D67882	Load_Currents	_Currents	SECT45771	A9.6	B10.4		<>	<>	<>	<>	<>	<>	<>
'7D678A1	Fault_Currents	_Fault Currents	SECT45771	<>	<>	<>	0	10	Wipeout ON	<>	<>	<>	<>
'7D678FC	Load_Currents	_Currents	SECT41315	A6.2	B13.2		<>	<>	<>	<>	<>	<>	<>
'7D6791B	Fault_Currents	_Fault Currents	SECT41315	<>	<>	<>	0	13	Wipeout ON	<>	<>	<>	<>
'7D67934	Load_Currents	_Currents	SECT41103	A7.1	B12.6		<>	<>	<>	<>	<>	<>	<>
'7D67953	Fault_Currents	_Fault Currents	SECT41103	<>	<>	<>	0	12	Wipeout ON	<>	<>	<>	<>
'7D67980	Load_Currents	_Currents	SECT42535	A6.2	B21.8	C2.5	<>	<>	<>	<>	<>	<>	<>
'7D6799F	Fault_Currents	_Fault Currents	SECT42535	<>	<>	<>	2	21	Wipeout ON	<>	<>	<>	<>
'7D679C1	Load_Currents	_Currents	SECT42473	A13.2	B21.8		<>	<>	<>	<>	<>	<>	<>
'7D679E0	Fault_Currents	_Fault Currents	SECT42473	<>	<>	<>	0	21	Wipeout ON	<>	<>	<>	<>
'7D679FF	Load_Currents	_Currents	SECT41995	A10.6	B11.6		<>	<>	<>	<>	<>	<>	<>
'7D67A1E	Fault_Currents	_Fault Currents	SECT41995	<>	<>	<>	3	11	Wipeout ON	<>	<>	<>	<>
'7D67A4A	Load_Currents	_Currents	SECT43315	A2.1	B9.6		<>	<>	<>	<>	<>	<>	<>
'7D67A69	Fault_Currents	_Fault Currents	SECT43315	<>	<>	<>	0	9	Wipeout ON	<>	<>	<>	<>
'7D67A82	Load_Currents	_Currents	R20464	A0.5	B2.1		<>	<>	<>	<>	<>	<>	<>
'7D67AA1	Fault_Currents	_Fault Currents	R20464	<>	<>	<>	0	2	Wipeout ON	<>	<>	<>	<>
'7D7F353	Load_Currents	_Currents	SECT43914	A3.3	B4.9	C10.1	<>	<>	<>	<>	<>	<>	<>
'7D7F372	Fault_Currents	_Fault Currents	SECT43914	<>	<>	<>	10	4	Wipeout ON	<>	<>	<>	<>
'7D7F394	Load_Currents	_Currents	SECT43954	A3.4	B5.2	C1.4	<>	<>	<>	<>	<>	<>	<>
'7D7F3B8	Fault_Currents	_Fault Currents	SECT43954	<>	<>	<>	1	5	Wipeout ON	<>	<>	<>	<>
'7D7F3DF	Load_Currents	_Currents	SECT44030	A3.3	B5.1	C2.7	<>	<>	<>	<>	<>	<>	<>
'7D7F403	Fault_Currents	_Fault Currents	SECT44030	<>	<>	<>	2	5	Wipeout ON	<>	<>	<>	<>
'7D7F458	Load_Currents	_Currents	SECT02767	A1.9	B7.3	C1.3	<>	<>	<>	<>	<>	<>	<>
'7D7F477	Fault_Currents	_Fault Currents	SECT02767	<>	<>	<>	1	7	Wipeout ON	<>	<>	<>	<>
'7D7F4A8	Load_Currents	_Currents	SECT03509	A3.2	B4.3		<>	<>	<>	<>	<>	<>	<>
'7D7F4CC	Fault_Currents	_Fault Currents	SECT03509	<>	<>	<>	0	4	Wipeout ON	<>	<>	<>	<>
'7D7F4E9	Load_Currents	_Currents	SECT02130	A3.6	B11.9		<>	<>	<>	<>	<>	<>	<>
'7D7F50D	Fault_Currents	_Fault Currents	SECT02130	<>	<>	<>	0	11	Wipeout ON	<>	<>	<>	<>
'7DB894B	Load_Currents	_Currents	SECT31406	A15.9	B14.0		<>	<>	<>	<>	<>	<>	<>
'7DB896A	Fault_Currents	_Fault Currents	SECT31406	<>	<>	<>	13	14	Wipeout ON	<>	<>	<>	<>
'7DB8996	Load_Currents	_Currents	SECT34966	A6.1	B9.4		<>	<>	<>	<>	<>	<>	<>
'7DB89B5	Fault_Currents	_Fault Currents	SECT34966	<>	<>	<>	0	9	Wipeout ON	<>	<>	<>	<>
'7E24A00	Load_Currents	_Currents	SECT08468	A4.2	B4.9	C8.3	<>	<>	<>	<>	<>	<>	<>
'7E24A1F	Fault_Currents	_Fault Currents	SECT08468	<>	<>	<>	8	4	Wipeout ON	<>	<>	<>	<>
'7E9CA2C	Load_Currents	_Currents	SECT24812	B0.6	C-12.8		<>	<>	<>	<>	<>	<>	<>
'7E9CA4B	Fault_Currents	_Fault Currents	SECT24812	<>	<>	<>	-12	0	Wipeout ON	<>	<>	<>	<>
'7F37602	Voltage_Box	_Voltages	REG72594	<>	<>	<>	<>	<>	Wipeout On	  |			
'7F37646	Voltage_Box	_Voltages	REG72593	<>	<>	<>	<>	<>	Wipeout On	  |			
