HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST	{DYNPARAM} Visibility1	MAX	MIN
'7106BE5	Fault_Currents	_Fault Currents	OCR_D34-19/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	388	135
'7106BEF	Fault_Currents	_Fault Currents	OCR_D32-7T/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	410	138
'7106BF4	Fault_Currents	_Fault Currents	OCR_D34-17/18.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	410	138
'7106BF9	Fault_Currents	_Fault Currents	span_14118	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	298	124
'7106BFE	Fault_Currents	_Fault Currents	span_7355	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	313	127
'7106C03	Fault_Currents	_Fault Currents	span_615	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	316	127
'7106C0D	Fault_Currents	_Fault Currents	OCR_D32-97/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	663	160
'7106C12	Fault_Currents	_Fault Currents	OCR_D32/102.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	641	159
'7106C17	Fault_Currents	_Fault Currents	OCR_D32-8/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	674	149
'7106C1C	Fault_Currents	_Fault Currents	OCR_D32-6-4/.2	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	397	135
'7106C21	Fault_Currents	_Fault Currents	span_19634	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	297	121
'7106C26	Fault_Currents	_Fault Currents	span_19359	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	286	119
'7106C2B	Fault_Currents	_Fault Currents	span_13966	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	491	144
'7106C30	Fault_Currents	_Fault Currents	OCR_D18-4-29H/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	429	139
