HANDLE	BLOCKNAME	LAYER	DEVICE	MAX	MIN	{DYNPARAM} Visibility1	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST
'70DA6AF	Load_Currents	_Currents	24-35-82	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DA701	Fault_Currents	_Fault Currents	24-35-82	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DA74F	Load_Currents	_Currents	26-05-24	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DA7A1	Fault_Currents	_Fault Currents	26-05-24	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DA7DB	Load_Currents	_Currents	span_58435	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DA82D	Fault_Currents	_Fault Currents	span_58435	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DA8B3	Voltage_Box	_Voltages	23-34-68-ABC	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DAAFB	Load_Currents	_Currents	22-30-17	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DAB4D	Fault_Currents	_Fault Currents	22-30-17	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DABC9	Voltage_Box	_Voltages	22-19-81-A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DAC17	Load_Currents	_Currents	22-21-86	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DAC69	Fault_Currents	_Fault Currents	22-21-86	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DACC5	Fault_Currents	_Fault Currents	22-34-00	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DAF6E	Load_Currents	_Currents	22-35-12	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DAFC0	Fault_Currents	_Fault Currents	22-35-12	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB004	Load_Currents	_Currents	22-36-01	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB056	Fault_Currents	_Fault Currents	22-36-01	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB0AE	Load_Currents	_Currents	22-22-97	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB100	Fault_Currents	_Fault Currents	22-22-97	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB172	Voltage_Box	_Voltages	22-23-71-A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB1CE	Load_Currents	_Currents	22-12-27	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB220	Fault_Currents	_Fault Currents	22-12-27	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB2B6	Fault_Currents	_Fault Currents	22-12-29	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB2FA	Load_Currents	_Currents	17-35-77	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DB34C	Fault_Currents	_Fault Currents	17-35-77	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DB390	Load_Currents	_Currents	22-04-45	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
